FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Romania,2021-07-01 04:21:19,45.9432,24.9668,1080792,33786,1045351,1655,Romania,5618.0988956985575,3.1260409033375525
,,,Romania,2021-07-02 04:21:47,45.9432,24.9668,1080823,33861,1045351,1611,Romania,5618.260037773782,3.1328903992605635
,,,Romania,2021-07-03 04:21:37,45.9432,24.9668,1080860,33898,1045351,1611,Romania,5618.45236863776,3.136206354199434
,,,Romania,2021-07-04 04:21:38,45.9432,24.9668,1080918,33925,1045351,1642,Romania,5618.753860262375,3.138535948147778
,,,Romania,2021-07-05 04:21:28,45.9432,24.9668,1080951,33928,1045351,1672,Romania,5618.925398600518,3.1387176662031857
,,,Romania,2021-07-06 04:21:32,45.9432,24.9668,1080979,33973,1045351,1655,Romania,5619.070946281366,3.142799258820014
,,,Romania,2021-07-07 04:21:20,45.9432,24.9668,1081030,34021,1045351,1658,Romania,5619.3360509857675,3.1470912000592026
,,,Romania,2021-07-08 04:21:26,45.9432,24.9668,1081090,34098,1045351,1641,Romania,5619.6479388733005,3.154038979178422
,,,Romania,2021-07-09 04:21:21,45.9432,24.9668,1081120,34168,1045351,1601,Romania,5619.8038828170675,3.1604262246559123
,,,Romania,2021-07-10 04:21:25,45.9432,24.9668,1081174,34197,1045351,1626,Romania,5620.084581915846,3.1629506443921147
,,,Romania,2021-07-11 04:21:43,45.9432,24.9668,1081210,34216,1045351,1643,Romania,5620.271714648366,3.1646026211374294
,,,Romania,2021-07-12 04:21:34,45.9432,24.9668,1081236,34217,1045351,1668,Romania,5620.406866066296,3.164619010095853
,,,Romania,2021-07-13 04:21:18,45.9432,24.9668,1081275,34219,1045390,1666,Romania,5620.609593193192,3.164689833761069
,,,Romania,2021-07-14 04:21:35,45.9432,24.9668,1081326,34233,1046447,646,Romania,5620.874697897595,3.165835280017312
,,,Romania,2021-07-15 04:21:48,45.9432,24.9668,1081405,34242,1046537,626,Romania,5621.285350282846,3.166436256536635
,,,Romania,2021-07-16 04:21:22,45.9432,24.9668,1081467,34245,1046610,612,Romania,5621.607634433296,3.166532127193895
,,,Romania,2021-07-18 04:22:07,45.9432,24.9668,1081588,34252,1046719,617,Romania,5622.23660833982,3.166825075721994
,,,Romania,2021-07-19 04:21:24,45.9432,24.9668,1081632,34253,1046739,640,Romania,5622.46532612401,3.166788704476199
,,,Romania,2021-07-20 04:21:48,45.9432,24.9668,1081678,34254,1046776,648,Romania,5622.704440171118,3.1667464809305543
,,,Romania,2021-07-21 04:21:40,45.9432,24.9668,1081773,34258,1046881,634,Romania,5623.198262659711,3.16683814441662
,,,Romania,2021-07-22 04:21:19,45.9432,24.9668,1081875,34260,1046952,663,Romania,5623.728472068517,3.166724436741768
,,,Romania,2021-07-23 04:21:29,45.9432,24.9668,1081953,34264,1047000,689,Romania,5624.133926322308,3.1668658435255503
,,,Romania,2021-07-24 00:21:36,45.9432,24.9668,1082057,34266,1047117,674,Romania,5624.674531994031,3.1667462989472828
,,,Romania,2021-07-25 04:22:12,45.9432,24.9668,1082183,34267,1047199,717,Romania,5625.329496557851,3.166469996294527
,,,Romania,2021-07-26 04:21:28,45.9432,24.9668,1082292,34268,1047246,778,Romania,5625.896092886866,3.1662434906661048
,,,Romania,2021-07-27 04:21:18,45.9432,24.9668,1082376,34270,1047291,815,Romania,5626.332735929412,3.1661825465457474
,,,Romania,2021-07-28 04:21:39,45.9432,24.9668,1082551,34273,1047388,890,Romania,5627.242408934716,3.1659478398708236
,,,Romania,2021-07-29 04:21:33,45.9432,24.9668,1082710,34274,1047444,992,Romania,5628.0689118366745,3.165575269462737
,,,Romania,2021-07-30 04:21:34,45.9432,24.9668,1082880,34275,1047528,1077,Romania,5628.952594184684,3.165170656028369
,,,Romania,2021-07-31 04:21:35,45.9432,24.9668,1083033,34278,1047682,1073,Romania,5629.747908297892,3.165000512449759